"","workerid","proliferate.condition","first_response_value","item","item_number","item_type","length","response","sentence","verb_id","sentence_id","trial_sequence_total","verb","wh_type","wrong_attempts","error"
"10413",4515,"Experiment Group",NA,22,"","","long",0.45,"顾问想知道外交官怕生物学家为什么嘲讽了哲学家。",6,122062,49,"怕","adj",NA,NA
"10416",4515,"Experiment Group",NA,15,"","","long",0.28,"主持人想知道学者希望政府官员为什么批评了总统候选人。",3,115032,52,"希望","adj",NA,NA
"10417",4515,"Experiment Group",NA,18,"","","long",0.25,"船长想知道建筑师觉得飞行员为什么责备了经济学家。",2,118022,53,"觉得","adj",NA,NA
"10419",4515,"Experiment Group",NA,8,"","","short",0.91,"侦探想知道售货员为什么觉得飞行员羞辱了卡车司机。",2,108021,55,"觉得","adj",NA,NA
"10421",4515,"Experiment Group",NA,20,"","","long",0.19,"售货员想知道作曲家想摄影师为什么指责了心理医生。",5,120052,57,"想","adj",NA,NA
"10422",4515,"Experiment Group",NA,17,"","","long",0.45,"会计想知道演员说编辑邀请了谁。",1,217012,58,"说","arg",NA,NA
"10424",4515,"Experiment Group",NA,26,"","","long",0.92,"制片人想知道健身教练怕化妆师监视了谁。",6,226062,60,"怕","arg",NA,NA
"10427",4515,"Experiment Group",NA,1,"","","long",0.95,"老师想知道学生觉得修理工打了谁。",2,201022,63,"觉得","arg",NA,NA
"10428",4515,"Experiment Group",NA,2,"","","long",0.37,"法官想知道律师说警察为什么审问了学生。",1,102012,64,"说","adj",NA,NA
"10431",4466,"Experiment Group",NA,27,"","","short",0.95,"法医想知道谁说罪犯谋害了程序员。",1,227011,1,"说","arg",NA,NA
"10432",4466,"Experiment Group",NA,30,"","","long",0.95,"舞蹈老师想知道实习生说歌手赞美了谁。",1,230012,2,"说","arg",NA,NA
"10435",4466,"Experiment Group",NA,12,"","","long",0.82,"包工头想知道和尚想播音员为什么打伤了算命先生。",5,112052,5,"想","adj",NA,NA
"10436",4466,"Experiment Group",NA,18,"","","short",0.03,"船长想知道建筑师为什么喜欢飞行员责备了经济学家。",7,118071,6,"喜欢","adj",NA,NA
"10438",4466,"Experiment Group",NA,32,"","","short",0.61,"助手想知道谁假装老师出卖了水手。",10,232101,8,"假装","arg",NA,NA
"10440",4466,"Experiment Group",NA,15,"","","short",0.8,"主持人想知道谁感觉政府官员批评了总统候选人。",12,215121,10,"感觉","arg",NA,NA
"10442",4466,"Experiment Group",NA,28,"","","short",0.8,"丞相想知道皇上为什么想将军威胁了大臣。",5,128051,12,"想","adj",NA,NA
"10444",4466,"Experiment Group",NA,4,"","","short",0.69,"教授想知道工程师为什么怕秘书批评了运动员。",6,104061,14,"怕","adj",NA,NA
"10445",4466,"Experiment Group",NA,26,"","","long",0.19,"制片人想知道健身教练假装化妆师为什么监视了调酒师。",10,126102,15,"假装","adj",NA,NA
"10447",4466,"Experiment Group",NA,25,"","","long",0.69,"美容师想知道房东假装营养师吓唬了谁。",10,225102,17,"假装","arg",NA,NA
"10449",4466,"Experiment Group",NA,20,"","","long",0.12,"售货员想知道作曲家怕摄影师指责了谁。",6,220062,19,"怕","arg",NA,NA
"10450",4466,"Experiment Group",NA,29,"","","long",0.25,"编辑想知道法务顾问喜欢杂技演员抚养了谁。",7,229072,20,"喜欢","arg",NA,NA
"10453",4466,"Experiment Group",NA,9,"","","short",0.05,"将军想知道间谍为什么记得士兵跟踪了总统。",8,109081,23,"记得","adj",NA,NA
"10454",4466,"Experiment Group",NA,31,"","","long",0.67,"心理学家想知道大学生感觉保姆讨好了谁。",12,231122,24,"感觉","arg",NA,NA
"10459",4466,"Experiment Group",NA,10,"","","short",0.92,"导游想知道外国人为什么猜保安袭击了商贩。",9,110091,29,"猜","adj",NA,NA
"10460",4466,"Experiment Group",NA,6,"","","long",0.28,"检察官想知道教练员记得音乐家为什么开除了保镖。",8,106082,30,"记得","adj",NA,NA
"10464",4466,"Experiment Group",NA,2,"","","short",0.96,"法官想知道律师为什么假装警察审问了学生。",10,102101,34,"假装","adj",NA,NA
"10467",4466,"Experiment Group",NA,19,"","","long",0.98,"经理想知道道士猜和尚为什么夸奖了乞丐。",9,119092,37,"猜","adj",NA,NA
"10469",4466,"Experiment Group",NA,16,"","","long",0.96,"大学生想知道记者喜欢音乐老师为什么夸赞了歌手。",7,116072,39,"喜欢","adj",NA,NA
"10473",4466,"Experiment Group",NA,17,"","","short",0.97,"会计想知道谁记得编辑邀请了神父。",8,217081,43,"记得","arg",NA,NA
"10475",4466,"Experiment Group",NA,5,"","","short",0.92,"市长想知道议员为什么说艺术家联系了毒枭。",1,105011,45,"说","adj",NA,NA
"10476",4466,"Experiment Group",NA,22,"","","long",0.16,"顾问想知道外交官记得生物学家嘲讽了谁。",8,222082,46,"记得","arg",NA,NA
"10478",4466,"Experiment Group",NA,1,"","","short",0.95,"老师想知道谁喜欢修理工打了快递员。",7,201071,48,"喜欢","arg",NA,NA
"10479",4466,"Experiment Group",NA,7,"","","long",0.98,"村长想知道农民想电工无视了谁。",5,207052,49,"想","arg",NA,NA
"10481",4466,"Experiment Group",NA,23,"","","short",0.95,"园丁想知道谁怕焊工训斥了清洁工。",6,223061,51,"怕","arg",NA,NA
"10483",4466,"Experiment Group",NA,8,"","","short",0.99,"侦探想知道售货员为什么感觉飞行员羞辱了卡车司机。",12,108121,53,"感觉","adj",NA,NA
"10486",4466,"Experiment Group",NA,14,"","","long",0.94,"英语老师想知道工程师感觉中学生为什么举报了店员。",12,114122,56,"感觉","adj",NA,NA
"10487",4466,"Experiment Group",NA,21,"","","short",0.93,"省长想知道谁猜小报记者采访了税务员。",9,221091,57,"猜","arg",NA,NA
"10489",4466,"Experiment Group",NA,13,"","","long",0.95,"服务员想知道售票员说演说家为什么欺骗了建筑工人。",1,113012,59,"说","adj",NA,NA
"10490",4466,"Experiment Group",NA,11,"","","long",0.94,"政客想知道医生猜护士推倒了谁。",9,211092,60,"猜","arg",NA,NA
"10492",4466,"Experiment Group",NA,3,"","","short",0.99,"经理想知道谁想服务员接待了乞丐。",5,203051,62,"想","arg",NA,NA
"10493",4466,"Experiment Group",NA,24,"","","long",0.99,"仓库管理员想知道采购员怕保险代理人为什么挖苦了模特。",6,124062,63,"怕","adj",NA,NA
"10497",4625,"Experiment Group",NA,26,"","","long",0.33,"制片人想知道健身教练感觉化妆师为什么监视了调酒师。",12,126122,1,"感觉","adj",NA,NA
"10498",4625,"Experiment Group",NA,4,"","","short",0.29,"教授想知道谁觉得秘书批评了运动员。",2,204021,2,"觉得","arg",NA,NA
"10501",4625,"Experiment Group",NA,22,"","","short",0.15,"顾问想知道外交官为什么说明生物学家嘲讽了哲学家。",4,122041,5,"说明","adj",NA,NA
"10503",4625,"Experiment Group",NA,18,"","","short",0.25,"船长想知道建筑师为什么害怕飞行员责备了经济学家。",11,118111,7,"害怕","adj",NA,NA
"10504",4625,"Experiment Group",NA,21,"","","long",0.2,"省长想知道药剂师觉得小报记者采访了谁。",2,221022,8,"觉得","arg",NA,NA
"10506",4625,"Experiment Group",NA,8,"","","long",0.38,"侦探想知道售货员说明飞行员为什么羞辱了卡车司机。",4,108042,10,"说明","adj",NA,NA
"10507",4625,"Experiment Group",NA,28,"","","long",0.57,"丞相想知道皇上希望将军威胁了谁。",3,228032,11,"希望","arg",NA,NA
"10510",4625,"Experiment Group",NA,25,"","","long",0.38,"美容师想知道房东感觉营养师吓唬了谁。",12,225122,14,"感觉","arg",NA,NA
"10511",4625,"Experiment Group",NA,12,"","","short",0,"包工头想知道谁说明播音员打伤了算命先生。",4,212041,15,"说明","arg",NA,NA
"10513",4625,"Experiment Group",NA,19,"","","long",0.59,"经理想知道道士怕和尚为什么夸奖了乞丐。",6,119062,17,"怕","adj",NA,NA
"10515",4625,"Experiment Group",NA,7,"","","long",0.34,"村长想知道农民猜电工为什么无视了领导。",9,107092,19,"猜","adj",NA,NA
"10517",4625,"Experiment Group",NA,2,"","","short",0.33,"法官想知道律师为什么认为警察审问了学生。",13,102131,21,"认为","adj",NA,NA
"10518",4625,"Experiment Group",NA,15,"","","long",0,"主持人想知道学者说明政府官员批评了谁。",4,215042,22,"说明","arg",NA,NA
"10521",4625,"Experiment Group",NA,1,"","","short",0.23,"老师想知道学生为什么觉得修理工打了快递员。",2,101021,25,"觉得","adj",NA,NA
"10523",4625,"Experiment Group",NA,30,"","","short",0.1,"舞蹈老师想知道谁猜歌手赞美了剧作家。",9,230091,27,"猜","arg",NA,NA
"10524",4625,"Experiment Group",NA,23,"","","short",0.29,"园丁想知道谁害怕焊工训斥了清洁工。",11,223111,28,"害怕","arg",NA,NA
"10526",4625,"Experiment Group",NA,20,"","","long",0.08,"售货员想知道作曲家怕摄影师指责了谁。",6,220062,30,"怕","arg",NA,NA
"10530",4625,"Experiment Group",NA,27,"","","long",0.12,"法医想知道业务员猜罪犯谋害了谁。",9,227092,34,"猜","arg",NA,NA
"10532",4625,"Experiment Group",NA,14,"","","short",0,"英语老师想知道谁希望中学生举报了店员。",3,214031,36,"希望","arg",NA,NA
"10536",4625,"Experiment Group",NA,13,"","","long",0,"服务员想知道售票员希望演说家为什么欺骗了建筑工人。",3,113032,40,"希望","adj",NA,NA
"10537",4625,"Experiment Group",NA,9,"","","long",0,"将军想知道间谍害怕士兵跟踪了谁。",11,209112,41,"害怕","arg",NA,NA
"10543",4625,"Experiment Group",NA,11,"","","short",0,"政客想知道医生为什么希望护士推倒了男孩。",3,111031,47,"希望","adj",NA,NA
"10544",4625,"Experiment Group",NA,3,"","","long",0.38,"经理想知道厨师认为服务员接待了谁。",13,203132,48,"认为","arg",NA,NA
"10546",4625,"Experiment Group",NA,5,"","","short",0,"市长想知道议员为什么怕艺术家联系了毒枭。",6,105061,50,"怕","adj",NA,NA
"10548",4625,"Experiment Group",NA,29,"","","short",0.13,"编辑想知道谁怕杂技演员抚养了小女孩。",6,229061,52,"怕","arg",NA,NA
"10550",4625,"Experiment Group",NA,10,"","","short",0.59,"导游想知道谁认为保安袭击了商贩。",13,210131,54,"认为","arg",NA,NA
"10551",4625,"Experiment Group",NA,17,"","","long",0,"会计想知道演员觉得编辑为什么邀请了神父。",2,117022,55,"觉得","adj",NA,NA
"10553",4625,"Experiment Group",NA,24,"","","short",0,"仓库管理员想知道谁感觉保险代理人挖苦了模特。",12,224121,57,"感觉","arg",NA,NA
"10555",4625,"Experiment Group",NA,31,"","","short",0,"心理学家想知道大学生为什么感觉保姆讨好了理发师。",12,131121,59,"感觉","adj",NA,NA
"10556",4625,"Experiment Group",NA,32,"","","long",0,"助手想知道军官害怕老师为什么出卖了水手。",11,132112,60,"害怕","adj",NA,NA
"10558",4625,"Experiment Group",NA,16,"","","long",0.47,"大学生想知道记者认为音乐老师为什么夸赞了歌手。",13,116132,62,"认为","adj",NA,NA
"10559",4625,"Experiment Group",NA,6,"","","short",0,"检察官想知道教练员为什么猜音乐家开除了保镖。",9,106091,63,"猜","adj",NA,NA
"10563",4491,"Experiment Group",NA,29,"","","long",0.74,"编辑想知道法务顾问记得杂技演员抚养了谁。",8,229082,1,"记得","arg",NA,NA
"10564",4491,"Experiment Group",NA,15,"","","long",0.64,"主持人想知道学者觉得政府官员为什么批评了总统候选人。",2,115022,2,"觉得","adj",NA,NA
"10566",4491,"Experiment Group",NA,21,"","","long",0.44,"省长想知道药剂师写下来小报记者为什么采访了税务员。",14,121142,4,"写","adj",NA,NA
"10569",4491,"Experiment Group",NA,12,"","","short",0.65,"包工头想知道谁记得播音员打伤了算命先生。",8,212081,7,"记得","arg",NA,NA
"10571",4491,"Experiment Group",NA,4,"","","long",0.48,"教授想知道工程师害怕秘书批评了谁。",11,204112,9,"害怕","arg",NA,NA
"10572",4491,"Experiment Group",NA,1,"","","long",0.49,"老师想知道学生感觉修理工打了谁。",12,201122,10,"感觉","arg",NA,NA
"10576",4491,"Experiment Group",NA,10,"","","long",0.78,"导游想知道外国人希望保安袭击了谁。",3,210032,14,"希望","arg",NA,NA
"10578",4491,"Experiment Group",NA,9,"","","short",0.45,"将军想知道谁感觉士兵跟踪了总统。",12,209121,16,"感觉","arg",NA,NA
"10581",4491,"Experiment Group",NA,18,"","","long",0.7,"船长想知道建筑师记得飞行员为什么责备了经济学家。",8,118082,19,"记得","adj",NA,NA
"10582",4491,"Experiment Group",NA,11,"","","long",0.64,"政客想知道医生说护士为什么推倒了男孩。",1,111012,20,"说","adj",NA,NA
"10585",4491,"Experiment Group",NA,16,"","","long",0.52,"大学生想知道记者害怕音乐老师为什么夸赞了歌手。",11,116112,23,"害怕","adj",NA,NA
"10587",4491,"Experiment Group",NA,28,"","","long",0.78,"丞相想知道皇上写下来将军威胁了谁。",14,228142,25,"写","arg",NA,NA
"10588",4491,"Experiment Group",NA,19,"","","short",0.59,"经理想知道道士为什么写下来和尚夸奖了乞丐。",14,119141,26,"写","adj",NA,NA
"10590",4491,"Experiment Group",NA,20,"","","short",0.76,"售货员想知道作曲家为什么说摄影师指责了心理医生。",1,120011,28,"说","adj",NA,NA
"10592",4491,"Experiment Group",NA,31,"","","short",0.75,"心理学家想知道大学生为什么记得保姆讨好了理发师。",8,131081,30,"记得","adj",NA,NA
"10593",4491,"Experiment Group",NA,27,"","","long",0.78,"法医想知道业务员说罪犯谋害了谁。",1,227012,31,"说","arg",NA,NA
"10595",4491,"Experiment Group",NA,14,"","","short",0.75,"英语老师想知道谁写下来中学生举报了店员。",14,214141,33,"写","arg",NA,NA
"10597",4491,"Experiment Group",NA,5,"","","short",0.84,"市长想知道议员为什么猜艺术家联系了毒枭。",9,105091,35,"猜","adj",NA,NA
"10598",4491,"Experiment Group",NA,26,"","","long",0.66,"制片人想知道健身教练觉得化妆师监视了谁。",2,226022,36,"觉得","arg",NA,NA
"10601",4491,"Experiment Group",NA,22,"","","long",0.76,"顾问想知道外交官希望生物学家为什么嘲讽了哲学家。",3,122032,39,"希望","adj",NA,NA
"10603",4491,"Experiment Group",NA,13,"","","short",0.68,"服务员想知道谁猜演说家欺骗了建筑工人。",9,213091,41,"猜","arg",NA,NA
"10604",4491,"Experiment Group",NA,25,"","","long",0.59,"美容师想知道房东猜营养师为什么吓唬了快餐店员。",9,125092,42,"猜","adj",NA,NA
"10606",4491,"Experiment Group",NA,23,"","","short",0.73,"园丁想知道谁觉得焊工训斥了清洁工。",2,223021,44,"觉得","arg",NA,NA
"10607",4491,"Experiment Group",NA,8,"","","short",0.57,"侦探想知道售货员为什么感觉飞行员羞辱了卡车司机。",12,108121,45,"感觉","adj",NA,NA
"10609",4491,"Experiment Group",NA,6,"","","short",0.65,"检察官想知道谁希望音乐家开除了保镖。",3,206031,47,"希望","arg",NA,NA
"10610",4491,"Experiment Group",NA,3,"","","short",0.66,"经理想知道厨师为什么害怕服务员接待了乞丐。",11,103111,48,"害怕","adj",NA,NA
"10612",4491,"Experiment Group",NA,2,"","","short",0.68,"法官想知道谁说警察审问了学生。",1,202011,50,"说","arg",NA,NA
"10613",4491,"Experiment Group",NA,17,"","","short",0.54,"会计想知道演员为什么希望编辑邀请了神父。",3,117031,51,"希望","adj",NA,NA
"10616",4491,"Experiment Group",NA,30,"","","short",0.7,"舞蹈老师想知道谁害怕歌手赞美了剧作家。",11,230111,54,"害怕","arg",NA,NA
"10620",4491,"Experiment Group",NA,32,"","","long",0.71,"助手想知道军官猜老师出卖了谁。",9,232092,58,"猜","arg",NA,NA
"10624",4491,"Experiment Group",NA,24,"","","long",0.78,"仓库管理员想知道采购员感觉保险代理人为什么挖苦了模特。",12,124122,62,"感觉","adj",NA,NA
"10625",4491,"Experiment Group",NA,7,"","","short",0.74,"村长想知道农民为什么觉得电工无视了领导。",2,107021,63,"觉得","adj",NA,NA
"10629",4538,"Experiment Group",NA,9,"","","long",0,"将军想知道间谍喜欢士兵跟踪了谁。",7,209072,1,"喜欢","arg",NA,NA
"10630",4538,"Experiment Group",NA,6,"","","short",0,"检察官想知道谁怕音乐家开除了保镖。",6,206061,2,"怕","arg",NA,NA
"10632",4538,"Experiment Group",NA,25,"","","long",0,"美容师想知道房东说明营养师吓唬了谁。",4,225042,4,"说明","arg",NA,NA
"10634",4538,"Experiment Group",NA,23,"","","short",0,"园丁想知道谁说明焊工训斥了清洁工。",4,223041,6,"说明","arg",NA,NA
"10635",4538,"Experiment Group",NA,22,"","","short",0,"顾问想知道谁喜欢生物学家嘲讽了哲学家。",7,222071,7,"喜欢","arg",NA,NA
"10639",4538,"Experiment Group",NA,3,"","","long",0.06,"经理想知道厨师怕服务员接待了谁。",6,203062,11,"怕","arg",NA,NA
"10643",4538,"Experiment Group",NA,32,"","","long",0,"助手想知道军官说老师为什么出卖了水手。",1,132012,15,"说","adj",NA,NA
"10644",4538,"Experiment Group",NA,10,"","","long",0.07,"导游想知道外国人假装保安为什么袭击了商贩。",10,110102,16,"假装","adj",NA,NA
"10647",4538,"Experiment Group",NA,7,"","","short",0,"村长想知道谁写下来电工无视了领导。",14,207141,19,"写","arg",NA,NA
"10649",4538,"Experiment Group",NA,4,"","","long",0,"教授想知道工程师记得秘书为什么批评了运动员。",8,104082,21,"记得","adj",NA,NA
"10650",4538,"Experiment Group",NA,2,"","","long",0.11,"法官想知道律师说警察审问了谁。",1,202012,22,"说","arg",NA,NA
"10652",4538,"Experiment Group",NA,24,"","","short",0,"仓库管理员想知道谁猜保险代理人挖苦了模特。",9,224091,24,"猜","arg",NA,NA
"10655",4538,"Experiment Group",NA,11,"","","short",0.93,"政客想知道谁说护士推倒了男孩。",1,211011,27,"说","arg",NA,NA
"10659",4538,"Experiment Group",NA,8,"","","short",0.93,"侦探想知道售货员为什么记得飞行员羞辱了卡车司机。",8,108081,31,"记得","adj",NA,NA
"10660",4538,"Experiment Group",NA,30,"","","short",0,"舞蹈老师想知道实习生为什么怕歌手赞美了剧作家。",6,130061,32,"怕","adj",NA,NA
"10662",4538,"Experiment Group",NA,20,"","","short",0.12,"售货员想知道作曲家为什么猜摄影师指责了心理医生。",9,120091,34,"猜","adj",NA,NA
"10664",4538,"Experiment Group",NA,12,"","","long",0,"包工头想知道和尚写下来播音员打伤了谁。",14,212142,36,"写","arg",NA,NA
"10665",4538,"Experiment Group",NA,13,"","","long",0,"服务员想知道售票员喜欢演说家为什么欺骗了建筑工人。",7,113072,37,"喜欢","adj",NA,NA
"10668",4538,"Experiment Group",NA,15,"","","short",0,"主持人想知道学者为什么喜欢政府官员批评了总统候选人。",7,115071,40,"喜欢","adj",NA,NA
"10670",4538,"Experiment Group",NA,17,"","","long",0,"会计想知道演员假装编辑邀请了谁。",10,217102,42,"假装","arg",NA,NA
"10672",4538,"Experiment Group",NA,31,"","","long",0,"心理学家想知道大学生怕保姆为什么讨好了理发师。",6,131062,44,"怕","adj",NA,NA
"10674",4538,"Experiment Group",NA,28,"","","long",0,"丞相想知道皇上写下来将军为什么威胁了大臣。",14,128142,46,"写","adj",NA,NA
"10676",4538,"Experiment Group",NA,1,"","","short",0,"老师想知道学生为什么说明修理工打了快递员。",4,101041,48,"说明","adj",NA,NA
"10678",4538,"Experiment Group",NA,29,"","","short",0.78,"编辑想知道谁记得杂技演员抚养了小女孩。",8,229081,50,"记得","arg",NA,NA
"10679",4538,"Experiment Group",NA,14,"","","long",0.7,"英语老师想知道工程师记得中学生举报了谁。",8,214082,51,"记得","arg",NA,NA
"10681",4538,"Experiment Group",NA,18,"","","long",0,"船长想知道建筑师说明飞行员为什么责备了经济学家。",4,118042,53,"说明","adj",NA,NA
"10682",4538,"Experiment Group",NA,5,"","","short",0.66,"市长想知道谁假装艺术家联系了毒枭。",10,205101,54,"假装","arg",NA,NA
"10684",4538,"Experiment Group",NA,16,"","","short",0.17,"大学生想知道记者为什么写下来音乐老师夸赞了歌手。",14,116141,56,"写","adj",NA,NA
"10685",4538,"Experiment Group",NA,21,"","","long",0,"省长想知道药剂师猜小报记者采访了谁。",9,221092,57,"猜","arg",NA,NA
"10689",4538,"Experiment Group",NA,19,"","","long",0,"经理想知道道士猜和尚为什么夸奖了乞丐。",9,119092,61,"猜","adj",NA,NA
"10690",4538,"Experiment Group",NA,26,"","","short",0,"制片人想知道健身教练为什么说化妆师监视了调酒师。",1,126011,62,"说","adj",NA,NA
"10692",4538,"Experiment Group",NA,27,"","","short",0.89,"法医想知道业务员为什么假装罪犯谋害了程序员。",10,127101,64,"假装","adj",NA,NA
"10695",4667,"Experiment Group",NA,6,"","","long",0.13,"检察官想知道教练员怕音乐家开除了谁。",6,206062,1,"怕","arg",NA,NA
"10697",4667,"Experiment Group",NA,20,"","","short",0.1,"售货员想知道作曲家为什么喜欢摄影师指责了心理医生。",7,120071,3,"喜欢","adj",NA,NA
"10700",4667,"Experiment Group",NA,22,"","","long",0.1,"顾问想知道外交官希望生物学家为什么嘲讽了哲学家。",3,122032,6,"希望","adj",NA,NA
"10703",4667,"Experiment Group",NA,25,"","","short",0.3,"美容师想知道房东为什么假装营养师吓唬了快餐店员。",10,125101,9,"假装","adj",NA,NA
"10705",4667,"Experiment Group",NA,1,"","","short",0.24,"老师想知道学生为什么记得修理工打了快递员。",8,101081,11,"记得","adj",NA,NA
"10706",4667,"Experiment Group",NA,11,"","","short",1,"政客想知道医生为什么认为护士推倒了男孩。",13,111131,12,"认为","adj",NA,NA
"10708",4667,"Experiment Group",NA,15,"","","short",0.44,"主持人想知道谁认为政府官员批评了总统候选人。",13,215131,14,"认为","arg",NA,NA
"10710",4667,"Experiment Group",NA,10,"","","short",0.07,"导游想知道外国人为什么希望保安袭击了商贩。",3,110031,16,"希望","adj",NA,NA
"10711",4667,"Experiment Group",NA,12,"","","short",0.84,"包工头想知道谁说播音员打伤了算命先生。",1,212011,17,"说","arg",NA,NA
"10713",4667,"Experiment Group",NA,30,"","","long",0.36,"舞蹈老师想知道实习生说歌手为什么赞美了剧作家。",1,130012,19,"说","adj",NA,NA
"10714",4667,"Experiment Group",NA,29,"","","short",0.79,"编辑想知道法务顾问为什么说杂技演员抚养了小女孩。",1,129011,20,"说","adj",NA,NA
"10717",4667,"Experiment Group",NA,23,"","","long",0.27,"园丁想知道水管工假装焊工为什么训斥了清洁工。",10,123102,23,"假装","adj",NA,NA
"10718",4667,"Experiment Group",NA,21,"","","long",0.18,"省长想知道药剂师怕小报记者为什么采访了税务员。",6,121062,24,"怕","adj",NA,NA
"10722",4667,"Experiment Group",NA,24,"","","long",0,"仓库管理员想知道采购员记得保险代理人为什么挖苦了模特。",8,124082,28,"记得","adj",NA,NA
"10723",4667,"Experiment Group",NA,17,"","","short",0.1,"会计想知道谁喜欢编辑邀请了神父。",7,217071,29,"喜欢","arg",NA,NA
"10726",4667,"Experiment Group",NA,7,"","","short",0.14,"村长想知道农民为什么说明电工无视了领导。",4,107041,32,"说明","adj",NA,NA
"10727",4667,"Experiment Group",NA,31,"","","short",0.13,"心理学家想知道大学生为什么怕保姆讨好了理发师。",6,131061,33,"怕","adj",NA,NA
"10729",4667,"Experiment Group",NA,32,"","","long",0.01,"助手想知道军官喜欢老师出卖了谁。",7,232072,35,"喜欢","arg",NA,NA
"10731",4667,"Experiment Group",NA,2,"","","short",0.23,"法官想知道谁说明警察审问了学生。",4,202041,37,"说明","arg",NA,NA
"10732",4667,"Experiment Group",NA,19,"","","short",0.12,"经理想知道谁怕和尚夸奖了乞丐。",6,219061,38,"怕","arg",NA,NA
"10734",4667,"Experiment Group",NA,5,"","","long",0.24,"市长想知道议员认为艺术家为什么联系了毒枭。",13,105132,40,"认为","adj",NA,NA
"10735",4667,"Experiment Group",NA,13,"","","long",0.19,"服务员想知道售票员希望演说家欺骗了谁。",3,213032,41,"希望","arg",NA,NA
"10737",4667,"Experiment Group",NA,27,"","","short",0.26,"法医想知道谁希望罪犯谋害了程序员。",3,227031,43,"希望","arg",NA,NA
"10739",4667,"Experiment Group",NA,9,"","","short",0.94,"将军想知道谁假装士兵跟踪了总统。",10,209101,45,"假装","arg",NA,NA
"10740",4667,"Experiment Group",NA,18,"","","long",0.09,"船长想知道建筑师假装飞行员责备了谁。",10,218102,46,"假装","arg",NA,NA
"10742",4667,"Experiment Group",NA,28,"","","long",0,"丞相想知道皇上喜欢将军为什么威胁了大臣。",7,128072,48,"喜欢","adj",NA,NA
"10744",4667,"Experiment Group",NA,8,"","","long",0,"侦探想知道售货员说明飞行员为什么羞辱了卡车司机。",4,108042,50,"说明","adj",NA,NA
"10751",4667,"Experiment Group",NA,16,"","","long",0.96,"大学生想知道记者说音乐老师夸赞了谁。",1,216012,57,"说","arg",NA,NA
"10753",4667,"Experiment Group",NA,14,"","","long",0.03,"英语老师想知道工程师记得中学生举报了谁。",8,214082,59,"记得","arg",NA,NA
"10754",4667,"Experiment Group",NA,4,"","","long",0,"教授想知道工程师认为秘书批评了谁。",13,204132,60,"认为","arg",NA,NA
"10757",4667,"Experiment Group",NA,3,"","","short",0.06,"经理想知道谁记得服务员接待了乞丐。",8,203081,63,"记得","arg",NA,NA
"10758",4667,"Experiment Group",NA,26,"","","long",0.05,"制片人想知道健身教练说明化妆师监视了谁。",4,226042,64,"说明","arg",NA,NA
"10762",4508,"Experiment Group",NA,25,"","","long",0.18,"美容师想知道房东觉得营养师吓唬了谁。",2,225022,2,"觉得","arg",NA,NA
"10764",4508,"Experiment Group",NA,32,"","","long",0.43,"助手想知道军官害怕老师出卖了谁。",11,232112,4,"害怕","arg",NA,NA
"10765",4508,"Experiment Group",NA,28,"","","long",0.88,"丞相想知道皇上希望将军威胁了谁。",3,228032,5,"希望","arg",NA,NA
"10768",4508,"Experiment Group",NA,15,"","","long",0.62,"主持人想知道学者说政府官员批评了谁。",1,215012,8,"说","arg",NA,NA
"10771",4508,"Experiment Group",NA,10,"","","long",0.87,"导游想知道外国人觉得保安为什么袭击了商贩。",2,110022,11,"觉得","adj",NA,NA
"10772",4508,"Experiment Group",NA,11,"","","long",0.76,"政客想知道医生说护士为什么推倒了男孩。",1,111012,12,"说","adj",NA,NA
"10774",4508,"Experiment Group",NA,23,"","","long",0.83,"园丁想知道水管工写下来焊工为什么训斥了清洁工。",14,123142,14,"写","adj",NA,NA
"10775",4508,"Experiment Group",NA,8,"","","long",0.66,"侦探想知道售货员写下来飞行员羞辱了谁。",14,208142,15,"写","arg",NA,NA
"10778",4508,"Experiment Group",NA,17,"","","long",0.24,"会计想知道演员认为编辑为什么邀请了神父。",13,117132,18,"认为","adj",NA,NA
"10782",4508,"Experiment Group",NA,3,"","","long",0.67,"经理想知道厨师害怕服务员为什么接待了乞丐。",11,103112,22,"害怕","adj",NA,NA
"10783",4508,"Experiment Group",NA,13,"","","short",0.18,"服务员想知道谁写下来演说家欺骗了建筑工人。",14,213141,23,"写","arg",NA,NA
"10786",4508,"Experiment Group",NA,22,"","","short",0.01,"顾问想知道外交官为什么希望生物学家嘲讽了哲学家。",3,122031,26,"希望","adj",NA,NA
"10788",4508,"Experiment Group",NA,14,"","","short",0.16,"英语老师想知道谁希望中学生举报了店员。",3,214031,28,"希望","arg",NA,NA
"10790",4508,"Experiment Group",NA,29,"","","short",0.32,"编辑想知道谁觉得杂技演员抚养了小女孩。",2,229021,30,"觉得","arg",NA,NA
"10791",4508,"Experiment Group",NA,5,"","","short",0.17,"市长想知道谁认为艺术家联系了毒枭。",13,205131,31,"认为","arg",NA,NA
"10794",4508,"Experiment Group",NA,2,"","","long",0.29,"法官想知道律师喜欢警察审问了谁。",7,202072,34,"喜欢","arg",NA,NA
"10795",4508,"Experiment Group",NA,19,"","","long",0.03,"经理想知道道士喜欢和尚为什么夸奖了乞丐。",7,119072,35,"喜欢","adj",NA,NA
"10797",4508,"Experiment Group",NA,31,"","","long",0.04,"心理学家想知道大学生希望保姆为什么讨好了理发师。",3,131032,37,"希望","adj",NA,NA
